"RNC_N=300,mq=1,p=0.060000",300.000000, 146, 209, 0.696667, -0.364849, 117.573997, 1.005672, 145.453018, 0.762760, 7, 1.393333, 4587.604004, 300, 0.003333
"RNC_N=300,mq=1,p=0.062000",300.000000, 168, 216, 0.720000, -0.447944, 105.294838, 0.976348, 159.805832, 0.736354, 8, 1.440000, 13151.844727, 300, 0.003333
"RNC_N=300,mq=1,p=0.064000",300.000000, 161, 221, 0.736667, -0.400393, 122.257278, 1.064589, 155.631561, 0.743594, 8, 1.473333, 8666.769531, 300, 0.003333
"RNC_N=300,mq=1,p=0.066000",300.000000, 180, 208, 0.693333, -0.470973, 108.246185, 0.987292, 170.326111, 0.719948, 8, 1.386667, 18889.195312, 300, 0.003333
"RNC_N=300,mq=1,p=0.068000",300.000000, 46, 101, 0.336667, -0.211667, 98.364426, 0.910080, 89.938118, 0.850833, 6, 0.673333, 863.983521, 300, 0.003333
"RNC_N=300,mq=1,p=0.070000",300.000000, 162, 209, 0.696667, -0.391181, 122.771362, 1.023968, 152.876205, 0.746667, 7, 1.393333, 5739.605469, 300, 0.003333
"RNC_N=300,mq=1,p=0.072000",300.000000, 20, 83, 0.276667, -0.132111, 86.845329, 0.871808, 70.938072, 0.882500, 6, 0.553333, 566.146179, 300, 0.003333
"RNC_N=300,mq=1,p=0.074000",300.000000, 165, 237, 0.790000, -0.435164, 113.719963, 1.083944, 161.631317, 0.733594, 10, 1.580000, 9653.010742, 300, 0.003333
"RNC_N=300,mq=1,p=0.076000",300.000000, 39, 112, 0.373333, -0.192778, 116.545616, 0.968274, 95.815422, 0.841094, 5, 0.746667, 1030.741699, 300, 0.003333
"RNC_N=300,mq=1,p=0.078000",300.000000, 176, 225, 0.750000, -0.466852, 117.525330, 0.965623, 172.691925, 0.714427, 7, 1.500000, 13809.000000, 300, 0.003333
"RNC_N=300,mq=1,p=0.080000",300.000000, 158, 205, 0.683333, -0.372735, 136.053024, 1.038555, 152.389618, 0.750521, 6, 1.366667, 3997.664795, 300, 0.003333
"RNC_N=300,mq=1,p=0.082000",300.000000, 166, 209, 0.696667, -0.363286, 131.302505, 1.125787, 155.213272, 0.748021, 8, 1.393333, 5387.606445, 300, 0.003333
"RNC_N=300,mq=1,p=0.084000",300.000000, 147, 207, 0.690000, -0.398623, 115.172974, 1.020562, 147.631821, 0.756927, 8, 1.380000, 8252.681641, 300, 0.003333
"RNC_N=300,mq=1,p=0.086000",300.000000, 173, 245, 0.816667, -0.418963, 112.796715, 1.056745, 164.270462, 0.732188, 10, 1.633333, 7307.653809, 300, 0.003333
"RNC_N=300,mq=1,p=0.088000",300.000000, 199, 300, 1.000000, -0.501593, 119.275444, 1.104539, 185.220810, 0.696771, 12, 2.000000, 16236.000000, 300, 0.003333
"RNC_N=300,mq=1,p=0.090000",300.000000, 33, 134, 0.446667, -0.197222, 121.969994, 1.081104, 103.815903, 0.829167, 7, 0.893333, 908.583374, 300, 0.003333
"RNC_N=300,mq=1,p=0.092000",300.000000, 199, 287, 0.956667, -0.387880, 147.469772, 1.302322, 175.210648, 0.714688, 13, 1.913333, 5173.692871, 300, 0.003333
"RNC_N=300,mq=1,p=0.094000",300.000000, 32, 111, 0.370000, -0.158143, 82.382019, 0.884549, 79.635521, 0.870260, 8, 0.740000, 1011.722778, 300, 0.003333
